id,email,password,first_name,last_name,phone,user_type,business_id,status,mail_verified,phone_verified,notification_id,notifications,founder
3000,micah42@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Micah,Ochieng,0790890853,OWNER,,VERIFIED,true,true,,,false
3001,miriam16@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Miriam,Gichuru,0771490442,OWNER,,VERIFIED,true,true,,,false
3002,wcnair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Paul,Owino,0770546969,OWNER,,VERIFIED,true,true,,,false
3003,elisha@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Elisha,Kiptoo,0727387931,OWNER,,VERIFIED,true,true,,,false
3004,grace@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Grace,Shikuku,0787912706,OWNER,,VERIFIED,true,true,,,false
3005,apnair@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Reuben,Kamau,0793483789,OWNER,,VERIFIED,true,true,,,false
3007,ruthr@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Ruth,Cherono,0778461924,OWNER,,VERIFIED,true,true,,,false
3008,naomi@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Naomi,Mochoge,0785697042,OWNER,,VERIFIED,true,true,,,false
3009,adam@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Adam,Mogaka,0765069182,OWNER,,VERIFIED,true,true,,,false
3010,elizabeth93@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Elizabeth,Gichuru,0726829393,OWNER,,VERIFIED,true,true,,,false
3011,acnair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Hannah,Wanjiru,0772303344,OWNER,,VERIFIED,true,true,,,false
3012,ethan80@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Ethan,Lusaka,0779485875,OWNER,,VERIFIED,true,true,,,false
3013,miriam@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Miriam,Khisa,0766705885,OWNER,,VERIFIED,true,true,,,false
3015,apnair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Aaron,Musila,0765897230,OWNER,,VERIFIED,true,true,,,false
3016,peterr@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Peter,Musyoka,0780022144,OWNER,,VERIFIED,true,true,,,false
3017,aknair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Phoebe,Kiptoo,0733864159,OWNER,,VERIFIED,true,true,,,false
3022,davidr@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",David,Mutua,0732361330,OWNER,,VERIFIED,true,true,,,false
3024,philip55@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Philip,Kipsang,0752837709,OWNER,,VERIFIED,true,true,,,false
3027,deborahr@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Deborah,Wanjiru,0723719948,OWNER,,VERIFIED,true,true,,,false
3028,amnair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Caleb,Wanyama,0759651471,OWNER,,VERIFIED,true,true,,,false
3029,aanair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",David,Kilonzo,0740294026,OWNER,,VERIFIED,true,true,,,false
3032,susannahr@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Susannah,Khisa,0737426753,OWNER,,VERIFIED,true,true,,,false
3035,ezekiel@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Ezekiel,Kipsang,0783199878,OWNER,,VERIFIED,true,true,,,false
3038,priscillar@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Priscilla,Omari,0732056956,OWNER,,VERIFIED,true,true,,,false
3043,adnair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Barnabas,Cheruiyot,0739727238,OWNER,,VERIFIED,true,true,,,false
3044,mary@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Mary,Nyakundi,0745114536,OWNER,,VERIFIED,true,true,,,false
3045,abigail@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Abigail,Odinga,0725601496,OWNER,,VERIFIED,true,true,,,false
3046,ahnair@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Abraham,Okello,0752752109,OWNER,,VERIFIED,true,true,,,false
3047,abigail13@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Abigail,Kariuki,0784734240,OWNER,,VERIFIED,true,true,,,false
3048,samuel67@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Samuel,Kariuki,0762034591,OWNER,,VERIFIED,true,true,,,false
3049,acnair@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Matthew,Mwanzia,0725138436,OWNER,,VERIFIED,true,true,,,false
3052,asnair@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Grace,Lusaka,0719762367,OWNER,,VERIFIED,true,true,,,false
3057,elishar@gmail.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Elisha,Odinga,0713518934,OWNER,,VERIFIED,true,true,,,false
3060,hannah@yahoo.com,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q",Hannah,Kisilu,0762330200,OWNER,,VERIFIED,true,true,,,false
