id,Facility_Name,Business_Type,Registration_Number,License_Status,Rel,Owner First Name,Owner Last Name,Owner Email
5899,SAMZAN PHARMA,RETAIL,PPB/S/9003,Status: Active,MjcwMTA=,Winny,Nthenya,winnyn@gmail.com47@gmail.com
4899,NYAKOE CHEMIST CO - HOSPITAL ROAD LTD,RETAIL,PPB/N/1560,Status: Active,Mjk2Nzc=,Samwel,Okello,samwelokello@gmail.com92@gmail.com
4899,NYAKOE CHEMIST CO - HOSPITAL ROAD LTD,RETAIL,PPB/N/1560,Status: Active,Mjk2Nzc=,Eric,Jepngetich,ejepngetich@gmail.com67@gmail.com
4899,NYAKOE CHEMIST CO - HOSPITAL ROAD LTD,RETAIL,PPB/N/1560,Status: Active,Mjk2Nzc=,Dolphine,Nandwa,dolphinenandwa@gmail.com72@gmail.com
6279,STAY HEALTHY PHARMACY,RETAIL,PPB/S/9237,Status: Active,MzA0MDM=,Hellen,Kirimi,hellenkirimi@gmail.com79@gmail.com
6477,TETHELL PHARMACY MATHARE,RETAIL,PPB/T/5791,Status: Active,MjkyODY=,Zacharia,Macharia,zachariam@gmail.com24@gmail.com
6477,TETHELL PHARMACY MATHARE,RETAIL,PPB/T/5791,Status: Active,MjkyODY=,Kipngeno,Benjamin,kb@gmail.com35@gmail.com
6309,SUKEYNA PHARMACEUTICAL LTD,RETAIL,PPB/S/9150,Status: Active,Mjg5NzU=,Mohamedamin,Ndwiga,mndwiga@gmail.com32@gmail.com
6631,TOP CARE CHEMIST,RETAIL,PPB/T/5703,Status: REVOKED,MjcyNjI=,Philemon,Nkatha,philemonnkatha@gmail.com1@gmail.com
3822,MAMBIA PHARMACY,RETAIL,PPB/M/9675,Status: Active,Mjg5NTE=,Kipkemoi,Ndambuki,kndambuki@gmail.com97@gmail.com
3660,LUCKYBAR PHARMACY,RETAIL,PPB/L/9770,Status: Active,MjcxNjI=,Stacy,Aoko,sa@gmail.com49@gmail.com
7059,WESTWELL PHARMACY,RETAIL,PPB/W/7430,Status: Active,MjgzMTg=,Ali,Jeptoo,alijeptoo@gmail.com10@gmail.com
5912,SANKAA PHARMACY,RETAIL,PPB/S/9114,Status: Active,MjgzNzM=,Stanley,Imali,stanleyimali@gmail.com26@gmail.com
6739,TSALACH PHARMACY,RETAIL,PPB/T/5739,Status: Active,Mjc5NzU=,Mutinda,Kiplagat,mutindakiplagat@gmail.com17@gmail.com
3730,MAESIO PHARMACEUTICAL OUTER-RING ROAD,RETAIL,PPB/M/9689,Status: Active,MjkwOTU=,Mwaura,Mutahi,mwauramutahi@gmail.com47@gmail.com
3730,MAESIO PHARMACEUTICAL OUTER-RING ROAD,RETAIL,PPB/M/9689,Status: Active,MjkwOTU=,Japhet,Mbuvi,jm@gmail.com36@gmail.com
5823,SAITO CHEMIST -,RETAIL,PPB/S/8997,Status: Active,MjY5MzY=,Lucas,Koech,lk@gmail.com30@gmail.com
6950,WALEGI CHEMIST,RETAIL,PPB/W/7440,Status: Active,Mjg5MjA=,Oloo,Kipleting,ok@gmail.com92@gmail.com
6533,THE NAQSH MEDICAL AND SURGICAL SUPPLIES LIMITED,RETAIL,PPB/T/5724,Status: Active,Mjc3MzM=,Edgar,Wangila,ew@gmail.com76@gmail.com
7039,WERII CHEMIST,RETAIL,PPB/W/7436,Status: Active,Mjg2NjA=,Wycliff,Ayieko,wycliffa@gmail.com51@gmail.com
5678,ROLLINHAM,RETAIL,PPB/R/1367,Status: Active,Mjk4MjE=,Njoki,Mukiri,nm@gmail.com73@gmail.com
6882,VICRAHAM PHARMACY,RETAIL,PPB/V/402,Status: Active,Mjg2NTU=,Lameck,Muthami,lmuthami@gmail.com75@gmail.com
5785,SAAYNEX PHARMACY LIMITED,RETAIL,PPB/S/9070,Status: Active,Mjc4NDE=,Priscillah,Nafula,priscillahnafula@gmail.com5@gmail.com
3609,LIVEN VENTURES LIMITED,RETAIL,PPB/L/9874,Status: Active,MzAyOTk=,Daud,Osman,daudosman@gmail.com25@gmail.com
3609,LIVEN VENTURES LIMITED,RETAIL,PPB/L/9874,Status: Active,MzAyOTk=,Abdirahman,Kabui,abdirahmankabui@gmail.com2@gmail.com
3609,LIVEN VENTURES LIMITED,RETAIL,PPB/L/9874,Status: Active,MzAyOTk=,Lucas,Jarso,lucasj@gmail.com53@gmail.com
6529,THE MINUT PHARMACY,RETAIL,PPB/T/5834,Status: Active,MzA0MDU=,Jepchirchir,Muigai,jepchirchirm@gmail.com25@gmail.com
3958,MAXLIFE PHARMACY LIMITED,RETAIL,PPB/M/9652,Status: Active,Mjg3NDI=,Rodgers,Waweru,rwaweru@gmail.com8@gmail.com
5682,ROMA CHEMIST,RETAIL,PPB/R/1334,Status: Active,Mjg5NjE=,Jelagat,Mwita,jelagatmwita@gmail.com27@gmail.com
5780,RYAMED PHARMACY,RETAIL,PPB/R/1326,Status: Active,Mjg3OTE=,Kiprono,Alio,ka@gmail.com11@gmail.com
4668,NEEMA NGURUMBANI PHARMACEUTICALS,RETAIL,PPB/N/1548,Status: Active,MjkzMjk=,Muriithi,Sang,msang@gmail.com59@gmail.com
5307,PILL POINT PHARMACY,RETAIL,PPB/P/2228,Status: Active,MjY4NDY=,Moraa,Muya,mmuya@gmail.com86@gmail.com
6172,SOACHEM PHARMACY,RETAIL,PPB/S/9148,Status: Active,Mjg5MzY=,Cleophas,Nzioka,cn@gmail.com98@gmail.com
4678,NELAPHARM LTD DOWNTOWN,RETAIL,PPB/N/1535,Status: Active,MjkxNTg=,Habiba,Kiprop,habibakiprop@gmail.com77@gmail.com
6858,VANGA WARD CHEMIST,RETAIL,PPB/V/410,Status: Active,MjkyODQ=,Dorcas,Ruto,druto@gmail.com36@gmail.com
5283,PHELMA PHARMACY,RETAIL,PPB/P/2203,Status: Active,MjYyNzg=,Jamila,Kawira,jamilak@gmail.com77@gmail.com
5283,PHELMA PHARMACY,RETAIL,PPB/P/2203,Status: Active,MjYyNzg=,Cosmas,Samson,cosmassamson@gmail.com31@gmail.com
5393,PRUDAN PHARMACY- KAHAWA WEST,RETAIL,PPB/P/2235,Status: Active,MjcwNjA=,Josephine,Mwathi,josephinem@gmail.com18@gmail.com
5393,PRUDAN PHARMACY- KAHAWA WEST,RETAIL,PPB/P/2235,Status: Active,MjcwNjA=,Ayub,Mose,ayubmose@gmail.com93@gmail.com
6455,TECPHARM PHARMACY,RETAIL,PPB/T/5727,Status: Active,Mjc3NTY=,Wamalwa,Muraguri,wm@gmail.com56@gmail.com
5706,ROSAPHARM CHEMIST,RETAIL,PPB/R/1247,Status: Active,MjY5OTM=,Andrew,Samson,asamson@gmail.com22@gmail.com
6487,TF PHARMACY-JUJA,RETAIL,PPB/T/5843,Status: Active,MzA1MTA=,Anna,Wangila,annaw@gmail.com80@gmail.com
6487,TF PHARMACY-JUJA,RETAIL,PPB/T/5843,Status: Active,MzA1MTA=,Jesca,Nderitu,jescan@gmail.com43@gmail.com
3518,LIFE TOUCH PHARMACY,RETAIL,PPB/L/9819,Status: REVOKED,Mjg2MzA=,Jimale,Kinuthia,jk@gmail.com70@gmail.com
6009,SHANICHEM CHEMIST,RETAIL,PPB/S/9112,Status: Active,MjgzNDI=,Paul,Kariuki,paulkariuki@gmail.com62@gmail.com
4551,MYGLOW SECRET LIMITED,RETAIL,PPB/M/9750,Status: Active,Mjk4MDM=,Nyanchama,Nyaboke,nnyaboke@gmail.com63@gmail.com
5149,PETHEALTH CHEMIST,RETAIL,PPB/P/4860,Status: Active,Mjg5OTQ=,Moses,Oketch,moketch@gmail.com10@gmail.com
5967,SELFCHECK  PHARMACY,RETAIL,PPB/S/9012,Status: Active,MjcxNjQ=,Abdirizack,Muli,am@gmail.com44@gmail.com
5222,PHARMAPLUS PHARMACEUTICALS LTD-NAIVAS KAHAWA SUKARI,RETAIL,PPB/P/4878,Status: Active,Mjk1Nzg=,Eugine,Muturi,euginemuturi@gmail.com81@gmail.com
3784,MALAL PHARAMCY,RETAIL,PPB/M/9788,Status: Active,MzA1ODA=,Joel,Wekesa,jwekesa@gmail.com81@gmail.com
3784,MALAL PHARAMCY,RETAIL,PPB/M/9788,Status: Active,MzA1ODA=,Kipkosgei,Githinji,kipkosgeigithinji@gmail.com41@gmail.com
4064,MEDILEEN PHARMACEUTICALS,RETAIL,PPB/M/9432,Status: Active,MjY1ODI=,Norah,Chepkoech,nc@gmail.com71@gmail.com
4582,NAILA PHARM,RETAIL,PPB/N/1540,Status: Active,MjkyMjA=,Adow,Wanjau,adoww@gmail.com40@gmail.com
4942,OAK SPRING HEALTHCARE,RETAIL,PPB/O/1089,Status: Active,Mjg2Mzg=,Prisca,Kimanthi,pkimanthi@gmail.com76@gmail.com
3991,MCGREENS PHARMACY GILGIL,RETAIL,PPB/M/9691,Status: Active,MjkxMjk=,Hawo,Munguti,hmunguti@gmail.com24@gmail.com
3991,MCGREENS PHARMACY GILGIL,RETAIL,PPB/M/9691,Status: Active,MjkxMjk=,Loise,Onyango,lo@gmail.com46@gmail.com
5477,RANCHO  PHARMACY,RETAIL,PPB/R/1246,Status: Active,MjY5NjM=,Annet,Ombasa,ao@gmail.com68@gmail.com
5477,RANCHO  PHARMACY,RETAIL,PPB/R/1246,Status: Active,MjY5NjM=,Musembi,Mucheru,musembim@gmail.com89@gmail.com
5477,RANCHO  PHARMACY,RETAIL,PPB/R/1246,Status: Active,MjY5NjM=,Nasimiyu,Haji,nh@gmail.com63@gmail.com
4058,MEDIJAS CHEMIST,RETAIL,PPB/M/9462,Status: Active,MjY4Mjc=,Rael,Kananu,raelkananu@gmail.com97@gmail.com
4058,MEDIJAS CHEMIST,RETAIL,PPB/M/9462,Status: Active,MjY4Mjc=,Jimale,Muchoki,jimalemuchoki@gmail.com4@gmail.com
4058,MEDIJAS CHEMIST,RETAIL,PPB/M/9462,Status: Active,MjY4Mjc=,Luka,Makori,lukamakori@gmail.com9@gmail.com
6568,THOMSON & THOMSON PHARMACY LTD - LAVINGTON,RETAIL,PPB/D/3278,Status: Active,Mjg3NTg=,Allan,Nasimiyu,allannasimiyu@gmail.com91@gmail.com
3857,MARCIA PHARMACY.,RETAIL,PPB/M/9768,Status: Active,MzAyMjY=,Wachira,Gathogo,wachirag@gmail.com12@gmail.com
6719,TRIO WELLNESS,RETAIL,PPB/T/5756,Status: Active,Mjg0MTE=,Felista,Saitoti,fs@gmail.com34@gmail.com
4621,NARCHAR HEALTHCARE LIMITED,RETAIL,PPB/N/1297,Status: Active,MjczNzM=,Rabecca,Mutisya,rabeccamutisya@gmail.com5@gmail.com
4110,MEDITEX PHARMACY,RETAIL,PPB/M/9651,Status: Active,Mjg3MzY=,Samwel,Ngei,sngei@gmail.com89@gmail.com
5650,ROBEL CHEMIST,RETAIL,PPB/R/1310,Status: Active,MjgzOTE=,Mumo,Musembi,mmusembi@gmail.com12@gmail.com
4944,OAKLANE PHARMACY LTD,RETAIL,PPB/O/1090,Status: Active,Mjg2NDU=,Bishar,Wainaina,bisharwainaina@gmail.com44@gmail.com
4944,OAKLANE PHARMACY LTD,RETAIL,PPB/O/1090,Status: Active,Mjg2NDU=,Esther,Maranga,estherm@gmail.com72@gmail.com
5072,PANDE RETAIL -PHARMACY,RETAIL,PPB/P/4849,Status: Active,Mjg3Mzk=,Gitonga,Macharia,gmacharia@gmail.com53@gmail.com
4767,NICHOLANN CHEMIST,RETAIL,PPB/N/1581,Status: Active,MzAyMjU=,Muturi,Kimathi,mk@gmail.com29@gmail.com
6821,UPRIGHT CHEMIST,RETAIL,PPB/U/9480,Status: Active,MjY2ODg=,Harrison,Keitany,harrisonk@gmail.com14@gmail.com
6880,VEXELIS PHARMACEUTICALS LIMITED,RETAIL,PPB/V/422,Status: Active,Mjk5NTg=,Kelvin,Oduori,kelvino@gmail.com86@gmail.com
4183,MEJAMED CHEMIST,RETAIL,PPB/M/9659,Status: Active,Mjg4MDk=,Cherop,Ochieng,cheropochieng@gmail.com24@gmail.com
3967,MAYAS PHARMACEUTICALS LIMITED,RETAIL,PPB/M/9564,Status: Active,Mjc3Mjg=,Sam,Nzisa,samnzisa@gmail.com65@gmail.com
7114,WONI WITU,RETAIL,PPB/W/7448,Status: Active,MjkzNjk=,Oliver,Wabomba,oliverw@gmail.com87@gmail.com
7114,WONI WITU,RETAIL,PPB/W/7448,Status: Active,MjkzNjk=,Quinter,Kabiru,qk@gmail.com46@gmail.com
7114,WONI WITU,RETAIL,PPB/W/7448,Status: Active,MjkzNjk=,Consolata,Githinji,cgithinji@gmail.com75@gmail.com
7114,WONI WITU,RETAIL,PPB/W/7448,Status: Active,MjkzNjk=,Fredrick,Chepkwony,fredrickc@gmail.com41@gmail.com
