id,Facility_Name,Business_Type,Registration_Number,License_Status,Rel,Facility Registration Number,License Number,Ownership,License Type,Establishment Year,Street,Town,County,First Name,Last Name,Email,Name Based Email,Facility Based Email,Varied Email,Realistic Email,Emails
13, MTALIANO PHARMACEUTICALS LIMITED (Nairobi),RETAIL,PPB/M/9345,Active,MjU2MTI=,PPB/M/9345,BU202308365,PRIVATE COMPANY (LIMITED),RETAIL,2021,LATEMA ROAD,,Nairobi,Micah,Ochieng,.mtaliano.pharmaceuticals.limited.nairobi@yahoo.com,micah.ochieng@gmail.com,.mtaliano.pharmaceut@gmail.com,micah@yahoo.com,micah42@yahoo.com,micah42@yahoo.com
25, SAINARD PHARMACEUTICALS LIMITED (Nairobi),RETAIL,PPB/S/9069,Active,Mjc4MjE=,PPB/S/9069,BU202309219,PARTNERSHIP,RETAIL,2022,38 MUTHANGARI ROAD,,Nairobi,Miriam,Gichuru,.sainard.pharmaceuticals.limited.nairobi@gmail.com,miriam.gichuru@yahoo.com,.sainard.pharmaceuti@gmail.com,spphar@yahoo.com,miriam16@gmail.com,miriam16@gmail.com
32, WEST CONGO PHARMACY LIMITED (Nairobi),RETAIL,PPB/C/9301,Active,Mjk1NjU=,PPB/C/9301,BU202309722,PRIVATE COMPANY (LIMITED),RETAIL,2023,KAMITI ROAD,,Nairobi,Paul,Owino,.west.congo.pharmacy.limited.nairobi@gmail.com,paul.owino@yahoo.com,.west.congo.pharmacy@gmail.com,powino64@yahoo.com,wcnair@yahoo.com,wcnair@yahoo.com
48,ABIJO PHARMACY- WANYEE (Nairobi),RETAIL,PPB/A/306,Active,NTY1MA==,PPB/A/306,BU202303389,SOLE PROPRIETOR,RETAIL,2013,WANYEE ROAD,,Nairobi,Elisha,Kiptoo,abijo.pharmacy.wanyee.nairobi@gmail.com,elisha.kiptoo@gmail.com,abijo.pharmacy..wany@gmail.com,apphar@yahoo.com,elisha@yahoo.com,elisha@yahoo.com
54,ABM PHARMACY (NGARA STAGE) (Nairobi),RETAIL,PPB/A/2029,REVOKED,MjUxMDE=,PPB/A/2029,BU202309948,PARTNERSHIP,RETAIL,2020,00206-176,,Nairobi,Grace,Shikuku,abm.pharmacy.ngara.stage.nairobi@yahoo.com,grace.shikuku@yahoo.com,abm.pharmacy..ngara@yahoo.com,apphar@gmail.com,grace@gmail.com,grace@gmail.com
55,ABM PHARMACY LIMITED (Nairobi),RETAIL,PPB/A/1921,Active,MjMwNDM=,PPB/A/1921,BU202310065,PARTNERSHIP,RETAIL,2020,MACHARIA ROAD,,Nairobi,Reuben,Kamau,abm.pharmacy.limited.nairobi@yahoo.com,reuben.kamau@gmail.com,abm.pharmacy.limited@yahoo.com,rkamau@yahoo.com,apnair@gmail.com,apnair@gmail.com
57,ABRAPHARMA PHARMACEUTICALS KASARANI (Nairobi),RETAIL,PPB/A/326,Active,NTQ0Ng==,PPB/A/326,BU202308018,SOLE PROPRIETOR,RETAIL,2014,SANTON STREET,,Nairobi,Deborah,Otieno,abrapharma.pharmaceuticals.kasarani.nairobi@gmail.com,deborah.otieno@yahoo.com,abrapharma.pharmaceu@gmail.com,apphar@gmail.com,apnair@gmail.com,apnair@gmail.com
62,ACCIPITRIDAE CHEMIST (Nairobi),RETAIL,PPB/A/1752,Active,MTgxMjA=,PPB/A/1752,BU202302980,SOLE PROPRIETOR,RETAIL,2018,KOMAROCK ROAD,,Nairobi,Ruth,Cherono,accipitridae.chemist.nairobi@gmail.com,ruth.cherono@yahoo.com,accipitridae.chemist@gmail.com,acchem@yahoo.com,ruthr@yahoo.com,ruthr@yahoo.com
64,ACCRA PHARMACY LTD - OPPOSITE MLK HOSP (Nairobi),RETAIL,PPB/A/407,Active,NDYxOA==,PPB/A/407,BU202301911,PRIVATE COMPANY (LIMITED),RETAIL,2015,SPINE RD,,Nairobi,Naomi,Mochoge,accra.pharmacy.ltd..opposite.mlk.hosp.nairobi@gmail.com,naomi.mochoge@yahoo.com,accra.pharmacy.ltd@yahoo.com,apphar@gmail.com,naomi@gmail.com,naomi@gmail.com
65,ACCRA PHARMACY LTD HAKATI (Nairobi),RETAIL,PPB/A/1970,Active,MjQxNzc=,PPB/A/1970,BU202302322,PARTNERSHIP,RETAIL,2021,HAKATI ROAD,,Nairobi,Adam,Mogaka,accra.pharmacy.ltd.hakati.nairobi@yahoo.com,adam.mogaka@gmail.com,accra.pharmacy.ltd.h@gmail.com,adam77@gmail.com,adam@yahoo.com,adam@yahoo.com
66,ACCRA-MED CHEMISTS LIMITED (Nairobi),RETAIL,PPB/A/1711,Active,MTc0Nzk=,PPB/A/1711,BU202306650,PRIVATE COMPANY (LIMITED),RETAIL,2017,ACCRA ROAD,,Nairobi,Elizabeth,Gichuru,accramed.chemists.limited.nairobi@gmail.com,elizabeth.gichuru@gmail.com,accra.med.chemists.l@yahoo.com,egichuru@gmail.com,elizabeth93@yahoo.com,elizabeth93@yahoo.com
68,ACE CARE PHARMACEUTICALS  (Nairobi),RETAIL,PPB/A/1928,Active,MjMxODY=,PPB/A/1928,BU202303417,PRIVATE COMPANY (LIMITED),RETAIL,2019,NAIVASHA ROAD,,Nairobi,Hannah,Wanjiru,ace.care.pharmaceuticals.nairobi@gmail.com,hannah.wanjiru@gmail.com,ace.care.pharmaceuti@yahoo.com,accare@yahoo.com,acnair@yahoo.com,acnair@yahoo.com
71,ACESO PHARMACY WELLNESS PHARMACY KASARANI (Nairobi),RETAIL,PPB/A/2066,Active,MjU2OTg=,PPB/A/2066,BU202307702,PRIVATE COMPANY (LIMITED),RETAIL,2021,MWIKI ROAD,,Nairobi,Ethan,Lusaka,aceso.pharmacy.wellness.pharmacy.kasarani.nairobi@gmail.com,ethan.lusaka@yahoo.com,aceso.pharmacy.welln@yahoo.com,lusaka@yahoo.com,ethan80@gmail.com,ethan80@gmail.com
